course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ud_812588,The Complete jQuery Course: From Beginner To Advanced!,https://www.udemy.com/course/jquery-tutorial/,Joe Parys,4.4524646,6.0,,0,8383,40882
ud_2425522,Understanding APIs and RESTful APIs Crash Course,https://www.udemy.com/course/learn-and-understand-apis-and-restful-apis/,Kalob Taulien,4.416202,0.7166666666666667,,1,8296,30575
ud_1512962,"Angular (Full App) with Angular Material, Angularfire & NgRx",https://www.udemy.com/course/angular-full-app-with-angular-material-angularfire-ngrx/,Academind by Maximilian Schwarzmüller,4.724515,11.5,,0,8273,44613
ud_548278,The Complete Web Development Course - Build 15 Projects,https://www.udemy.com/course/complete-web-development-course/,Development Island (UK),4.4163284,99.5,,0,8245,40933
ud_2320056,"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",https://www.udemy.com/course/modern-react-bootcamp/,Colt Steele,4.599427,39.0,,1,8060,42855
ud_1000574,The Complete Developers Guide to MongoDB,https://www.udemy.com/course/the-complete-developers-guide-to-mongodb/,Stephen Grider,4.606248,13.0,,0,7854,51160
ud_772618,Learn Object Oriented PHP By Building a Complete Website,https://www.udemy.com/course/learn-object-oriented-php-by-building-a-complete-website/,Eduonix Learning Solutions,4.012217,4.5,,0,7839,113045
ud_2917880,"Complete Web Design: HTML, CSS, Javascript, jQuery, Vue, Git",https://www.udemy.com/course/get-started-with-html-css-the-frontend-developer-bootcamp/,Ivan Lourenço Gomes,4.4378595,33.5,,1,7723,24998
ud_756266,The Complete ServiceNow Developer Course,https://www.udemy.com/course/servicenow-201-development/,Mark Miller,4.4080744,8.5,,2,7534,38531
ud_622466,Salesforce Development Training for Beginners,https://www.udemy.com/course/learn-salesforce-apex-basic-to-advance/,Deepika Khanna,4.509389,14.0,,0,7476,37936
ud_1002030,Web Development w/ Google’s Go (golang) Programming Language,https://www.udemy.com/course/go-programming-language/,Todd McLeod,4.8204455,19.0,,2,7421,56707
ud_1639836,Build Web Apps with Vue JS 3 & Firebase,https://www.udemy.com/course/build-web-apps-with-vuejs-firebase/,The Net Ninja (Shaun Pelling),4.797292,31.5,,0,7420,30338
ud_3533422,MERN From Scratch 2023 | eCommerce Platform,https://www.udemy.com/course/mern-ecommerce/,Brad Traversy,4.7353272,13.5,,0,7313,29763
ud_3604434,Microfrontends with React: A Complete Developer's Guide,https://www.udemy.com/course/microfrontend-course/,Stephen Grider,4.655666,9.0,,0,7307,51326
ud_19332,The Complete 2020 Fullstack Web Developer Course,https://www.udemy.com/course/thecompletewebdeveloper/,Kalob Taulien,4.629097,67.0,,0,7303,96675
ud_904462,The Complete Elixir and Phoenix Bootcamp,https://www.udemy.com/course/the-complete-elixir-and-phoenix-bootcamp-and-tutorial/,Stephen Grider,4.1090736,17.5,,0,7246,28043
ud_818990,Git a Web Developer Job: Mastering the Modern Workflow,https://www.udemy.com/course/git-a-web-developer-job-mastering-the-modern-workflow/,Brad Schiff,4.9005327,15.5,,1,7187,35765
ud_3551562,Zero to Hero in Lightning Web Components,https://www.udemy.com/course/zero-to-hero-in-lightning-web-components/,Salesforce troop,4.5981917,41.5,,1,7113,34485
