course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ps_187,Jakarta EE 10 Web Profile: Big Picture,https://www.pluralsight.com/courses/jakarta-ee-10-web-profile-big-picture,Richard Monson-Haefel,,0.9630555555555556,,1,,
ps_188,Raspberry Pi for Developers,https://www.pluralsight.com/courses/raspberry-pi-for-developers-2020,Jon Flanders,4.6,1.4741666666666668,,1,22,
ps_189,URL Rewrite for Developers,https://www.pluralsight.com/courses/url-rewrite-for-developers,Scott Forsyth,4.7,4.008055555555556,,2,83,
ps_190,Kotlin for Java Developers,https://www.pluralsight.com/courses/kotlin-java-developers,Andrejs Doronins,,2.3597222222222225,,2,,
ps_191,Angular 4 Security Using JSON Web Tokens,https://www.pluralsight.com/courses/angular-security-json-web-tokens,Paul D. Sheriff,4.7,2.8488888888888892,,2,131,
ps_192,Bootstrap 4 for the Developer,https://www.pluralsight.com/courses/bootstrap-4-developer,Mario Duilio Macari,3.4,4.099722222222222,,2,239,
ps_193,Getting Started with Salesforce Lightning Web Components,https://www.pluralsight.com/courses/salesforce-lightning-web-components-getting-started,Sara Morgan Nettles,,1.860277777777778,,2,,
ps_194,CCAI Virtual Agent Development in Dialogflow ES for Software Developers,https://www.pluralsight.com/courses/ccai-virtual-agent-development-dialogflow-es-software-developers,Google Cloud,,1.2830555555555554,,2,,
ps_195,Microsoft Azure Developer: Develop an App Service Logic App,https://www.pluralsight.com/courses/microsoft-azure-developer-develop-app-service-logic-app,James Millar,4.3,0.8041666666666667,,2,41,
ps_196,Scraping Your First Web Page with Python,https://www.pluralsight.com/courses/scraping-first-web-page-python,Janani Ravi,4.3,2.6616666666666666,,1,39,
ps_197,AWS Development Tools Services Overview,https://www.pluralsight.com/courses/aws-development-tools-services-overview,AWS,,0.09,,1,,
ps_198,Building Progressive Web Apps with the App Shell Model,https://www.pluralsight.com/courses/progressive-web-apps-app-shell-model,Nik Molnar,4.3,1.7525,,2,10,
