,course_title,course_id,course_url,course_instructor,course_rating,course_no_of_reviews,course_duration,course_level,course_no_of_enrolled,course_details
360,ProgramaciÃ³n con JavaScript,ce_101400,https://www.coursera.org/learn/programming-with-javascript-es,Taught by Meta Staff,4.7,28.0,42.0,1,0,CreaciÃ³n de cÃ³digos JavaScript sencillos. CreaciÃ³n y manipulaciÃ³n de objetos y matrices. Escribir pruebas unitarias con Jest  IntroducciÃ³n a Javascript Componentes fundamentales de un programa Paradigmas de programaciÃ³n Pruebas EvaluaciÃ³n calificada de final de curso
361,Material Behavior,ce_101401,https://www.coursera.org/learn/material-behavior,"Thomas H. Sanders, Jr.",4.8,1200.0,25.0,0,40390,"Introduction [Difficulty: Easy || Student Effort: 1hr 30mins] Atomic Structure and Bonding [Difficulty: Easy || Student Effort: 2hrs] Crystalline Structure [Level of Difficulty: Medium || Student Effort: 2hrs 30mins] Point Defects and Diffusion [Level of Difficulty: Medium || Student Effort: 2hrs 30mins] Linear, Planar, and Volumetric Defects [Level of Difficulty: Medium || Student Effort: 2hrs 40mins] Noncrystalline and Semicrystalline Materials [Level of Difficulty: Medium || Student Effort: 2hrs 30mins]"
362,Interfacing with the Raspberry Pi,ce_101402,https://www.coursera.org/learn/raspberry-pi-interface,Ian Harris,4.7,1600.0,11.0,0,79466,Python Programming Application Programming Interfaces (API) Internet Of Things (IOT) Raspberry Pi Module 1 Module 2 Module 3 Module 4
363,IoT Cloud,ce_101403,https://www.coursera.org/learn/iot-cloud,Matthew Caesar,4.6,19.0,18.0,2,3248,Internet Internet Of Things (IOT) Front And Back Ends Service Discovery Week 1: Course Orientation and Networking Devices Part 1 Week 2: Infrastructure: Networking Devices Part 2 Week 3: Infrastructure: Physical Infrastructure and Wiring (Part 1) Week 4: Infrastructure: Physical Infrastructure and Wiring (Part 2)
364,Capstone:  Autonomous Runway Detection for IoT,ce_101404,https://www.coursera.org/learn/autonomous-runway-detection,Farhoud Hosseinpour,4.6,67.0,30.0,3,5545,Introduction and methods Implementation and integration Project submission and Peer review
365,"Teacher SEL: Programs, Possibilities, and Contexts",ce_101405,https://www.coursera.org/learn/teacher-sel-programs,Dan Liston,4.7,136.0,14.0,3,4130,"Describe the purposes, practices and rationales for mindfulness programs for teachers Describe with the purposes, practices, and rationales for Center for Courage and Renewal programs for teachers Examine narrative as a means of exploring complex responses to students and oneâs self in teaching and their origins Mindfulness in teaching Center for Courage and Renewal programs for teacher and community well-being The role of narrative in teachers' social and emotional learning Parents, families, and communities: Social and emotional learning in context"
366,MBSE: Model-Based Systems Engineering ,ce_101406,https://www.coursera.org/learn/mbse,Ken English,4.4,781.0,21.0,1,27256,Systems Engineering Model-Based Systems Engineering  Applications of Model-Based Systems Engineering Model-Based Enterprise
367,Customising your models with TensorFlow 2,ce_101407,https://www.coursera.org/learn/customising-models-tensorflow2,Dr Kevin Webster,4.8,185.0,27.0,2,13465,Tensorflow Deep Learning keras The Keras functional API  Data Pipeline Sequence Modelling Model subclassing and custom training loops Capstone Project
368,Concevoir une expÃ©rience utilisateur pour le bien commun et se prÃ©parer Ã  lâemploi,ce_101408,https://www.coursera.org/learn/concevoirune-experience-utilisateur-pour-le-bien-commun-et-se-preparer-a-lemploi,Google Career Certificates,,,46.0,1,0,"Construire des maquettes et des prototypes pour une application mobile et un site Web rÃ©actif. PrÃ©parer un entretien rÃ©ussi pour un poste de concepteur UX dÃ©butant. DÃ©terminer si le travail de conception en freelance est une bonne solution pour votre carriÃ¨re. Appliquer chaque Ã©tape du processus de conception UX pour crÃ©er un projet de portfolio axÃ© sur le bien commun. Emplois de conception UX. Prototype Conception ExpÃ©rience Utilisateur (UXD) Test de facilitÃ© dâutilisation ExpÃ©rience utilisateur (UX) DÃ©marrer le processus de UX design : faire preuve dâempathie, dÃ©finir, proposer des idÃ©es CrÃ©ation de wireframes de prototypes de faible fidÃ©litÃ©  CrÃ©ation de mockups et de prototypes haute-fidÃ©litÃ© Concevoir un site Web responsive complÃ©mentaire Trouver un emploi UX"
369,Rust for Large Language Model Operations (LLMOps),ce_101409,https://www.coursera.org/learn/rust-llmops,Noah Gift,,,16.0,2,0,Mastery in deploying Rust for intricate LLMOps workflows. Rust (Programming Language) Machine Learning Hugging Face Transformers Large Language Models Coding Assistants DevOps Concepts for MLOps Rust Hugging Face Candle Key LLMOps Technologies Key Generative AI Technologies
370,AR for web using JavaScript,ce_101410,https://www.coursera.org/learn/ar-for-web-using-javascript,Taught by Meta Staff,4.2,11.0,19.0,2,2097,Web AR Blender Playcanvas JavaScript Basics of Web AR development Javascript in PlayCanvas Content development and integration Creating an AR learning experience with PlayCanvas
371,Hacking and Patching,ce_101411,https://www.coursera.org/learn/hacking-patching,Edward Chow,4.0,262.0,15.0,2,58988,Injection Web App Attacks and Their Defenses Hack SQL Databases and Patch Web Apps with SQL Injection Vulnerabilities Memory Attacks and Defenses Penetration Testing
372,Mastering Ansible Automation,ce_101412,https://www.coursera.org/learn/mastering-ansible-automation,Evan Fingerman,4.1,15.0,10.0,1,2308,"Automate tasks associated with files, packages, and users Learn the syntax and structure of YAML files Configuration Management Cloud Infrastructure Devops Troubleshooting Automation Introduction to Ansible Automations Connecting to Web-Based Systems"
373,Developing Data Products,ce_101413,https://www.coursera.org/learn/data-products,"Brian Caffo, PhD",4.6,2300.0,10.0,0,84530,"Develop basic applications and interactive graphics using GoogleVis Use Leaflet to create interactive annotated maps Build an R Markdown presentation that includes a data visualization Create a data product that tells a story to a mass audience Interactivity Plotly Web Application R Programming Course Overview Shiny, GoogleVis, and Plotly R Markdown and Leaflet R Packages Swirl and Course Project "
374,Android App Capstone ,ce_101414,https://www.coursera.org/learn/android-app-capstone,Taught by Meta Staff,4.7,25.0,15.0,2,4875,Build and style a user interface (UI) using fragments and views  Use Kotlin and MVVM architecture to design an efficient and engaging app	 Fetch data from an application programming interface (API) and make use of LiveData Demonstrate clean and bug free coding while keeping an eye on optimization Android Studio Kotlin UX and UI Starting the Project Project Functionality Project Assessment
375,"Identifying, Attracting, and Growing Your Digital Audience",ce_101415,https://www.coursera.org/learn/identifying-attracting-and-growing-your-digital-audience,Stephane Muller,4.7,241.0,13.0,1,10618,"Develop an audience persona based on a target audience. Identify strategies to define, attract, and engage your audience online. Compare social networks and develop a social media strategy designed to meet your marketing goals and objectives. Experience Design Social Media E-Commerce Marketing Brand Management Introduction to Digital Marketing Identifying & Defining Your Audience  Attracting & Building Your Audience Maintaining & Engaging Your Audience "
376,Digital Information Literacy,ce_101416,https://www.coursera.org/learn/digital-information-literacy,Nicole Thomas,4.6,19.0,19.0,2,2569,"Design aesthetics Ethically using media (images, audio, and video) Creating multimedia projects Multimedia Communication Media Literacy Graphic Design Design Thinking Foundations of Digital Literacy Accessing Digital Information Evaluating Digital Information  How to Manage Digital Information Advanced Digital Literacy Project and Peer Assessment"
377,"Fandom, Social Media, and Authenticity in the Digital Age",ce_101417,https://www.coursera.org/learn/fandom-social-media-authenticity-digital-age,Christopher Haynes,4.7,10.0,16.0,1,2172,"Define and describe the relationship between fandom, popular culture, and digital media as each impact our identity and interactions with others Apply critical self-reflection and close reading frameworks through personal and professional writing Engage with pop culture and fandom communities by leveraging online platforms to make connections and synthesize learning Reflect on your personal relationship to social media, identity, representation, and social interaction online Social Media analysis Writing digital literacy close reading Fandom, Popular Culture, and Digital Media in Context Social Media, Representation, and Participatory Culture Experience, Ideology, and Pop Culture Interpretation The Dark Side of Social Media"
378,RESTful Web Services with JAX-RS,ce_101418,https://www.coursera.org/learn/restful-web-services-jax-rs,Wyatt Lang,4.4,12.0,8.0,1,0,Enterprise Software JAX-RS Curl Java Representational State Transfer (REST) JAX-RS RESTful Web Services Creating Web Services
379,M2M & IoT Interface Design & Protocols for Embedded Systems,ce_101419,https://www.coursera.org/learn/m2m-iot-interface-design-embedded-systems,"Bruce Montgomery, PhD, PMP",4.6,104.0,8.0,2,6868,Define and assess importance of M2M and IoT to modern development Recognize key elements of cloud support for IoT devices and systems Review the application of microservice architecture to IoT systems cloud connected systems Rapid Prototyping design of embedded systems APIs and microservices Introduction to M2M & IoT Cloud for IoT Communications Protocols Other Cloud and IoT Elements
380,Cloud Computing Fundamentals on Alibaba Cloud,ce_101420,https://www.coursera.org/learn/alibaba-cloud-computing,Steve Xue,4.7,91.0,12.0,1,4644,Learn how to use the core Alibaba Cloud products Build cloud-based architectures on Alibaba Cloud platforms Learn to secure your cloud architecture with a range of cloud security solutions Manage a Relational Database that can analyze large sets of data  Cloud Computing Security database management Object Storage Cloud Computing Manage and Operate ECS  Manage and Operate RDS Manage and Operate OSS Handle Large Traffic with Load Balancer  Use Cloud Resources Flexibly According to your Business Requirements Secure Your Data on Alibaba Cloud Connect to China with China Gateway Exam Preparation
381,HTML - Front-End Developer,ce_101421,https://www.coursera.org/learn/html-front-end-developer-web-services,Wyatt Lang,4.0,7.0,6.0,1,0,HTML Web Development Front-End Web Development Module 1 Module 2
382,Advanced Blockchain Architectures,ce_101422,https://www.coursera.org/learn/advanced-blockchain-architecture,Kris Bennett,,,14.0,2,0,Identity Management (IDM) Needs Analysis Proof Of Concept (POC) Development strategy Blockchain Advanced Blockchain Architectures Module 1: The Lifecycle of a Blockchain Solution Module 2: Consumer vs Enterprise Blockchain Use and Adoption Module 3: Identity Management and the Blockchain  Module 4: Web 2.5 Module 5: Blockchain Interoperability Deep-Dive Module 6: Blockchain Sustainability Module 7: Course Wrap-up: Where to go from here? 
383,Programando con Java para aplicaciones Android,ce_101423,https://www.coursera.org/learn/programandoconjava,Anahi Salgado,4.7,1500.0,11.0,0,63729,Interfaces Java Programming Object-Oriented Programming (OOP) Arrays BÃ¡sicos de Java ProgramaciÃ³n Orientada a Objetos (POO) Lenguaje adicional de Java
384,iOS App Capstone,ce_101424,https://www.coursera.org/learn/ios-app-capstone,Taught by Meta Staff,4.4,20.0,16.0,2,2718,iOS App Development Software Architecture UI development Data Management Starting the Project Project Functionality Project assessment
385,Data Structures and Design Patterns for Game Developers,ce_101425,https://www.coursera.org/learn/data-structures-design-patterns,"Dr. Tim ""Dr. T"" Chamillard",4.6,146.0,22.0,2,18758,"Dynamic Arrays and Algorithm Analysis Linked Lists and Graphs Stacks, Queues, and Trees Design Patterns"
386,Server side JavaScript with Node.js,ce_101426,https://www.coursera.org/learn/server-side-javascript-with-nodejs,NIIT,3.7,74.0,31.0,2,7510,"Explore the Node.js environment , test and debug the basic programs incorporating Node.js techniques like modules, files and asynchronous programming Node.Js JavaScript with ES6 Specification Mocha Chai Getting StartedÂ With JavaScript inÂ Node.jsâ Work with JavaScript Functions Arrays and Objects Build and Use Modules in Node.js Asynchronous Programming Working with File System using Node.js Error Handling and Debugging Node Applications Unit Testing using Mocha and Chai"
387,Design de uma experiÃªncia do usuÃ¡rio para o bem social e preparaÃ§Ã£o para o mercado,ce_101427,https://www.coursera.org/learn/design-de-uma-experiencia-do-usuario-para-o-bem-social,Google Career Certificates,4.9,110.0,46.0,1,3302,"Aplicar cada etapa do processo de design de UX para criar um projeto de portfÃ³lio com foco no bem social. Criar wireframes, maquetes e protÃ³tipos de baixa e alta fidelidade para um app para dispositivos mÃ³veis dedicado e um site responsivo. 
 Se preparar para fazer entrevistas para um emprego de design de UX de nÃ­vel bÃ¡sico.
 Determinar se o trabalho freelance em design Ã© uma carreira adequada para vocÃª.
 ExperiÃªncia do usuÃ¡rio (UX) Testagem de usabilidade Empregos em Design de UX Prototipo Design de experiÃªncia do usuÃ¡rio (UXD) InÃ­cio do processo de design de UX: empatia, definiÃ§Ã£o, idealizaÃ§Ã£o Como criar wireframes e protÃ³tipos de baixa fidelidade  Criando modelos e protÃ³tipos de alta fidelidade Como desenvolver um site responsivo complementar Como encontrar um emprego de UX"
388,Healthcare Consumerism and Implication for Care Delivery ,ce_101428,https://www.coursera.org/learn/healthcareconsumerism,George âRussâ Moran ,4.6,67.0,14.0,1,6637,Consumerism in Healthcare Operational Challenges and Change Management Financial & Payment Challenges of Healthcare Consumerism The Role of Analytics in Healthcare Consumerism
389,IntroducciÃ³n al desarrollo de front-end,ce_101429,https://www.coursera.org/learn/introduction-to-front-end-development-es,Taught by Meta Staff,4.7,53.0,18.0,1,1690,"Distinga entre desarrolladores de front-end, back-end y full-stack. Crear y diseÃ±ar una pÃ¡gina web con HTML y CSS. Los beneficios de trabajar con marcos de interfaz de usuario. IntroducciÃ³n al desarrollo web IntroducciÃ³n a HTML y CSS Marcos de interfaz de usuario EvaluaciÃ³n calificada de final de curso"
390,Java Class Library,ce_101430,https://www.coursera.org/learn/java-class-library,Evan Bergman,4.7,132.0,29.0,2,13523,Recursively Enumerable Set Iterator Linearity Arrays Course Overview Java Generics Java Collections Exception Handling Input and Output Enums Annotations
391,Turn Ethical Frameworks into Actionable Steps,ce_101431,https://www.coursera.org/learn/ethical-frameworks-action,Eleanor 'Nell' Watson,4.6,116.0,15.0,1,16099,"Analyze ethical frameworks to determine their common principles. Compare ethical frameworks and select one to guide decisions to resolve an organizational issue.     Analyze applicable regulations, standards, and international best practices. Integrate ethical principles, regulatory requirements, and business practicalities.     Ethics Of Artificial Intelligence Information Privacy Business Analysis Compliance Business Strategy Apply Frameworks to Your Ethical Responsibilities for Data-Driven Technologies Apply an Ethical Frameork to Navigate an Ethically Challenging Dilemma Follow Regulations and Standards That Have an Impact on Business Strategy Reconcile Conflicts Between Ethics, Regulations, Societal Needs, and Business Demands Apply What You've Learned"
392,Selenium WebDriver with Python,ce_101432,https://www.coursera.org/learn/selenium-webdriver-python,Whizlabs Instructor,3.1,15.0,7.0,1,2513,"Setting up the Environment for Selenium WebDriver with Python Overview of Testing Frameworks (unittest, pytest) and setting up test cases. Handling Popup, Alerts, Multiple Browser Tabs, Mouse and Keyboard interactions Debugging with Selenium WebDriver Unit Testing Selenium (Software) Python Programming Test Case Selenium Getting Started With Selenium WebDriver Web Elements and Web Interactions Selenium Testing, Advance Features and Best Practices"
393,Development of Real-Time Systems,ce_101433,https://www.coursera.org/learn/real-time-systems,Farhoud Hosseinpour,4.6,529.0,19.0,2,35875,Freertos Scheduling (Computing) Real-Time Operating System (RTOS) Scheduling Algorithms Introduction to Real-Time Systems Static Scheduling Dynamic Scheduling Non-Periodic Jobs Real-Time Operating Systems
394,Sustainable Transportation Networks and Streetscapes,ce_101434,https://www.coursera.org/learn/sustainable-transportation-networks-and-streetscapes,William Roper,4.7,32.0,4.0,2,1966,"complete streets Urban Planning thoroughfare network design smart streets stormwater management Sustainable Transportation Thoroughfares, Networks and Smart Urban Planning, Growth, and Lifestyle  Transportation Thoroughfare Design and Equable, Healthy, and Sustainable Communities  Sustainable Streetscapes, Storm Water Management, and Environmental Enhancement."
395,Advanced C# Programming in .NET Core,ce_101435,https://www.coursera.org/learn/advanced-c-programming-in-net-core,EDUCBA,,,10.0,2,0,Computer Programming .NET Core C# fundamentals Object Oriented Programming Language Advanced Language Features Object-Oriented Programming Techniques Advanced Data Access Error Handling and Logging
396,Web Application Development with ASP.NET Core,ce_101436,https://www.coursera.org/learn/web-application-development-with-aspnet-core,EDUCBA,,,9.0,2,0,Frontend Development Asp.Net Core Web Development with ASP.NET Core Model-View-Controller (MVC) Architecture Web APIs Introduction to ASP.NET Core Building Web APIs Working with Entity Framework Core Authentication and Authorization
397,Testing and Debugging in .NET Core Applications,ce_101437,https://www.coursera.org/learn/testing-and-debugging-in-net-core-applications,EDUCBA,,,8.0,2,0,Unit Testing Continuous Integration and Deployment (CI/CD) Integration Maintaining Code Quality Collaborative Debugging Advance Debugging Introduction to Testing in .NET Core Writing Unit Tests Integration Testing in .NET Core Debugging Techniques
398,Building Scalable Applications with .NET Core,ce_101438,https://www.coursera.org/learn/building-scalable-applications-with-net-core,EDUCBA,,,6.0,2,0,Performance optimization Scalability Patterns Cloud Services and Deployment Introduction to Scalability Load Balancing and High Availability Caching and Performance Optimization Monitoring and Scaling in the Cloud
399,"Cloud Virtualization, Containers and APIs",ce_101439,https://www.coursera.org/learn/cloud-virtualization-containers-api-duke,Noah Gift,4.4,94.0,31.0,1,11505,Getting Started with Cloud Building Blocks Virtualization and Containers Microservices Operations
400,Cloud Applications,ce_101440,https://www.coursera.org/learn/cloud-app,Umakishore Ramchandran,4.4,14.0,3.0,0,1753,Principles for Cloud Application Development Infrastructure and Application Management Emerging Cloud Applications Trending Cloud Infrastructure Project
401,Leadership and Disruption,ce_101441,https://www.coursera.org/learn/leadership-and-disruption,Alfredo Castro,4.8,147.0,15.0,1,6401,"Use LAB (Learn, Apply and Benefit) as a model for your development and storytelling as a powerful tool to engage and motivate. Learn new competencies for the Great Reset scenario while determining the leadership brand, and know how you can apply âdelegationâ. Apply a practical model to enhance your leadership style and generate business impacts: Autonomy, Reality, Task, defined by the A.R.T. of leadership. Delegation Feedback Leadership of remote teams Disruption Storytelling for leaders Disruptive leadership Life Long Learner What do they need Future is now"
402,The Factors that Influence the Effectiveness of Boards and the Governance Process,ce_101442,https://www.coursera.org/learn/nonprofit-gov-3,"Prof. Yvonne Cafik Harrison, PhD",4.6,49.0,12.0,0,5620,"Board Operating Procedures, Structures, and Meetings The Composition and Development of the Board Board Culture and Leadership Individual Concept Testing and Application Group Concept Testing and Application"
403,Introduction to Android graphics,ce_101443,https://www.coursera.org/learn/intro-android-graphics,Benny Lo,4.0,58.0,20.0,2,16316,3d computer graphics Android Studio 2d computer graphics Android 2D Graphics 3D Graphics  Implementing 2D and 3D Graphics in Android
404,Android Graphics with OpenGL ES,ce_101444,https://www.coursera.org/learn/android-graphics-opengl-es,Benny Lo,4.3,12.0,25.0,2,8541,Opengl for Embedded Systems (OPENGL ES) Opengl++ 3d computer graphics Android Studio 2d computer graphics Fundamentals of OpenGL in Android 2D and 3D Objects Complex 3D objects Creating a 3D Logo in OpenGL ES
405,Projeyi BaÅlatma: Projeye BaÅarÄ±yla AdÄ±m Atma,ce_101445,https://www.coursera.org/learn/projeyi-baslatma-projeye-basariyla-adim-atma,Google Career Certificates,4.9,259.0,18.0,1,5561,"BaÅlatma aÅamasÄ±nÄ±n proje yaÅam dÃ¶ngÃ¼sÃ¼ndeki Ã¶nemini kavrama Proje baÅlatma belgelerinin temel bileÅenlerini anlama ve projeyi baÅlatma aÅamasÄ± iÃ§in proje baÅlatma belgesi oluÅturma PaydaÅ analizi yapma ve proje ekibi Ã¼yelerinin sorumluluklarÄ±nÄ± tanÄ±mlayÄ±p Ã¼yelere iletmek iÃ§in RACI matrislerini kullanma. Proje ihtiyaÃ§larÄ±nÄ± karÅÄ±lamak iÃ§in Ã§eÅitli proje yÃ¶netimi araÃ§larÄ±nÄ± deÄerlendirme.  Ä°Å YazÄ±ÅmalarÄ± Proje YÃ¶netimi Proje BaÅlatma Belgesi PaydaÅ YÃ¶netimi Stratejik DÃ¼ÅÃ¼nme Projeyi baÅlatmanÄ±n temelleri Proje hedeflerini, kapsamÄ± ve baÅarÄ± hedeflerini tanÄ±mlama PaydaÅlarla verimli Ã§alÄ±ÅmanÄ±n yollarÄ± Projeyi baÅarÄ±ya ulaÅtÄ±rmak iÃ§in kaynaklardan ve araÃ§lardan faydalanma"
406,JavaScript Security Refreshers,ce_101446,https://www.coursera.org/learn/javascript-security-refreshers,Vladimir de Turckheim,4.4,50.0,2.0,2,2787,Secure JavaScript Programming Overview Authentication Best Practices
407,Establishing a Professional âSelfâ through Effective Intercultural Communication,ce_101447,https://www.coursera.org/learn/effective-intercultural-communication,Misty So-Sum Wai-Cook,4.6,321.0,10.0,0,22564,Introduction to Specialisation and Course Establish Work Relationships Effective Communication Personal Profile
408,"Android App Components - Intents, Activities, and Broadcast Receivers",ce_101448,https://www.coursera.org/learn/androidapps,Dr. Jules White,4.2,782.0,14.0,0,47408,Computer Programming Android Studio Android Software Development Concurrent Computing MOOC Overview Introduction to Git Android Intents Android Activities Android Broadcast Receivers
409,"Android App Components - Services, Local IPC, and Content Providers",ce_101449,https://www.coursera.org/learn/androidapps-2,Dr. Douglas C. Schmidt,4.3,397.0,13.0,1,35790,MOOC Overview Android Started and Bound Services Android Local Inter-Process Communication (IPC) Android Content Providers
410,Introduction to Java Enterprise Edition (EE),ce_101450,https://www.coursera.org/learn/introduction-ee,Ed Lance,4.5,51.0,9.0,2,5736,Web Programming Java HTML Web Page JEE Servlet Basics
411,DiseÃ±ando pÃ¡ginas web con Bootstrap 4,ce_101451,https://www.coursera.org/learn/disenando-paginas-bootstrap4,Ezequiel LamÃ³nica,4.4,637.0,20.0,1,31203,DiseÃ±ar una pÃ¡gina web con Bootstrap Implementar tu diseÃ±o con Bootstrap Crear un diseÃ±o responsive Preparar tu sitio web para salir a producciÃ³n HTML JavaScript Front-End Web Development Angularjs PresentaciÃ³n de Bootstrap 4.0 Componentes CSS de Bootstrap COMPONENTES JAVASCRIPT DE BOOTSTRAP HERRAMIENTAS DE DESARROLLO
412,"Desarrollo del lado servidor: NodeJS, Express y MongoDB",ce_101452,https://www.coursera.org/learn/desarrollo-lado-servidor-nodejs-express-mongodb,Ezequiel LamÃ³nica,4.1,107.0,25.0,1,13176,Construir una aplicacion servidor con Node JS y ponerla en producion. Crear y testear una API REST. Programar del lado servidor y base de datos NoSQL. Crear modelos de datos con Mongoose ODM. Software Testing Node.Js Mongodb ProgramaciÃ³n Heroku Conceptos bÃ¡sicos del desarrollo web del lado servidor Persistencia del modelo utilizando Mongoose y MongoDB AutenticaciÃ³n  Oauth y Puesta en producciÃ³n en Heroku.
413,Responsive Web Design,ce_101453,https://www.coursera.org/learn/responsive-web-design,Dr Matthew Yee-King,4.6,1900.0,26.0,0,85875,Responsive Web Design HTML JavaScript Cascading Style Sheets (CSS) Responsive Web Design: Course overview Web design principles  Realising design principles in code Adding content to websites Building a full gallery app
414,Cloud Machine Learning Engineering and MLOps,ce_101454,https://www.coursera.org/learn/cloud-machine-learning-engineering-mlops-duke,Noah Gift,4.5,67.0,12.0,2,6994,Getting Started with Machine Learning Engineering Using AutoML Emerging Topics in Machine Learning
415,Advanced Django: Advanced Django Rest Framework,ce_101455,https://www.coursera.org/learn/codio-advanced-django-advanced-drf,Patrick Ester,4.9,18.0,9.0,3,3080,Optimize the Django Rest Framework Writing tests for the API Integrate with ReactJS Django (Web Framework) Python Programming React (Web Framework) JavaScript Testing Django Rest Framework Optimizing Django Rest Framework Django Rest Framework and Third-Party Libraries Integrating JavaScript and the React Framework
416,Principios de diseÃ±o UX/UI,ce_101456,https://www.coursera.org/learn/principles-of-ux-ui-design-es,Taught by Meta Staff,4.9,7.0,21.0,1,0,Describa los fundamentos del diseÃ±o y la investigaciÃ³n de la experiencia del usuario (UX) Describa las consideraciones de accesibilidad en el diseÃ±o  Ponga en prÃ¡ctica el desarrollo de empatÃ­a hacia el usuario a travÃ©s de la investigaciÃ³n Cree wireframes y prototipos en Figma IntroducciÃ³n a los principios del diseÃ±o UX/UI EvaluaciÃ³n del diseÃ±o interactivo Fundamentos del diseÃ±o aplicado DiseÃ±o de su UI Resumen del curso y evaluaciÃ³n final
417,Control de versiones,ce_101457,https://www.coursera.org/learn/introduction-to-version-control-es,Taught by Meta Staff,4.3,15.0,13.0,1,0,Implementar sistemas de control de versionesÂ  Navegar y llevar a cabo la configuraciÃ³n mediante la lÃ­nea de comandosÂ  Usar un repositorio de GitHub. Crear un repositorio de GitHub Gestionar revisiones de cÃ³digo ColaboraciÃ³n de software LÃ­nea de comandos Trabajar con Git EvaluaciÃ³n calificada
418,Foundations of Objective-C App Development,ce_101458,https://www.coursera.org/learn/objective-c,Don Patterson,4.6,557.0,15.0,0,32407,"iOS App Development Computer Programming Xcode Objective-C Get Ready. Get Set. Go! Functions, Scopes and Encapsulation - oh my! Object Lesson System Libraries to the Rescue"
419,Introduction to Web Applications,ce_101459,https://www.coursera.org/learn/akamai-web-apps,Shadow Farrell,,,21.0,1,0,Learners will master basic HTML coding (HTML5) and basic and advanced skills in Cascading Style Sheets (CSS3). Adding Animation Embedding and Linking Content Authoring Content in HTML Using Advanced Techniques to Select and Apply Styles Formatting Content with CSS Authoring Content in HTML Embedding and Linking Content Formatting Content with CSS Creating Web Page Layouts Using Advanced Techniques to Select and Apply Styles Using Advanced Background and Border Techniques Adding Animation Web Applications Capstone
420,"Coding for Designers, Managers, & Entrepreneurs I",ce_101460,https://www.coursera.org/learn/uva-coding-for-design-managers-1,Alex Cowan,4.1,49.0,22.0,1,11423,"How to transition ideas to designs, and how to translate those designs to code How to build end user interfaces using HTML and CSS (with a transition to Javascript in course 2). How to use analytical debugging to take the guess work and anxiety out of coding How to use digital literacy to enhance your team's practice of agile Rapid Prototyping HTML5 User Story Cascading Style Sheets (CSS) User Experience Design (UXD) Prototyping with HTML Making HTML Manageable with CSS Debugging HTML & CSS Preparing Your Design for Development Your Working Prototype"
421,The Art of the Job Interview,ce_101461,https://www.coursera.org/learn/art-of-job-interview,Pamela Skillings,4.5,29.0,19.0,1,13805,Communication Resume writing Networking Nonverbal Communication job interviews Interview Fundamentals Acing Common Questions Acing Advanced Interview Questions Optimize Your Resume Ramp Up Your Job Search
422,Las redes sociales en acciÃ³n,ce_101462,https://www.coursera.org/learn/red-social,JosÃ© Antonio Cano Chambonnet,4.6,711.0,14.0,0,25260,Social Media Marketing Social Media Marketing Marketing Strategy Sostac Bienvenida MÃ³dulo 1. Estableciendo objetivos MÃ³dulo 2. Planeando las actividades en redes sociales MÃ³dulo 3. Los recursos para redes sociales MÃ³dulo 4. EvaluaciÃ³n y reportes
423,Nursing Informatics Leaders,ce_101463,https://www.coursera.org/learn/health-informatics-leadership,"Bonnie L. Westra, PhD, RN, FAAN, FACMI",4.5,43.0,14.0,1,2127,Nursing Informatics Pioneers â Overview Technology and Events Influencing Nursing Informatics Pioneers Organizational and Network Influences on Pioneer Leadership and Accomplishments Pioneers in Nursing Informatics Research and Education Nursing Informatics Pioneers in Practice and Industry
424,Fundamentos de Android,ce_101464,https://www.coursera.org/learn/fundamentos,Anahi Salgado,4.5,660.0,11.0,0,40971,Github Android Studio Android Version History Material Design IntroducciÃ³n a Android Hola Mundo y Android Studio ComposiciÃ³n de un proyecto de Android  Componentes de una aplicaciÃ³n mÃ³vil Android  Patrones de diseÃ±o para Android  Material Design  Mockups y prototipos para Android
425,Gmail en EspaÃ±ol,ce_101465,https://www.coursera.org/learn/gmail-es,Google Cloud Training,4.8,233.0,3.0,1,2948,"Usar la interfaz de Gmail para redactar, responder y reenviar mensajes, asÃ­ como darles formato Organizar sus mensajes con Gmail Identificar formas de personalizar Gmail para aumentar la productividad Usar filtros y la bÃºsqueda avanzada para encontrar mensajes File Shortcut Email Signature Confidentiality IntroducciÃ³n al curso IntroducciÃ³n a Gmail Organice su correo electrÃ³nico IntegraciÃ³n de Gmail Proteja su carpeta Recibidos Contactos Administre la configuraciÃ³n de Gmail Aumente su productividad con Gmail DesafÃ­o empresarial"
426,Python Data Visualization,ce_101466,https://www.coursera.org/learn/python-visualization,Scott Rixner,4.6,534.0,8.0,1,36123,Week 1  Week 2 Week 3 Week 4
427,Spring Data Repositories,ce_101467,https://www.coursera.org/learn/spring-repositories,Derek Parsons,3.8,39.0,9.0,2,5147,Spring Data Spring Data Repositories JPA Restful services Spring Support for JPA Spring Data Repositories Spring AOP and Transactions
428,Advanced Django: External APIs and Task Queuing,ce_101468,https://www.coursera.org/learn/codio-advanced-django-external-apis-task-queuing,Patrick Ester,5.0,20.0,8.0,3,2063,Use external APIs Schedule tasks with Celery and Redis Combine the skills from all four courses to build a portfolio-ready project Django (Web Framework) Python Programming Requests Module and External APIs Task Queuing Capstone Part 1 Capstone Part 2
